ID,logFC_CBE_Mayo,Direction_CBE_Mayo
ENSG00000131591,-0.356320104,1
ENSG00000198912,0.032830972,1
ENSG00000173372,0.569122576,1
ENSG00000173369,0.712510981,1
ENSG00000159189,0.632048396,na
ENSG00000162545,-0.114337569,0
ENSG00000171735,0.028060521,0
ENSG00000077549,-0.058683741,0
ENSG00000132906,-0.077233452,0
ENSG00000130940,0.113719939,0
ENSG00000221978,-0.155859188,1
ENSG00000158825,0.665290771,1
ENSG00000070831,-0.087194032,1
ENSG00000008128,0.195883526,1
ENSG00000248333,0.079879752,0
ENSG00000142615,0.266944096,0
ENSG00000215704,0.061013494,0
ENSG00000116198,0.109772464,0
ENSG00000142609,-0.080158541,0
ENSG00000116254,-0.38582036,0
ENSG00000011021,-0.034946578,0
ENSG00000186510,-0.287987385,0
ENSG00000184908,0.071787647,0
ENSG00000171603,0.162542015,0
ENSG00000224051,-0.166087005,0
ENSG00000058453,-0.049019828,0
ENSG00000215908,0.114423175,1
ENSG00000080947,-0.055535246,1
ENSG00000178585,-0.148672884,1
ENSG00000197312,-0.073574699,1
ENSG00000244038,0.14982806,1
ENSG00000160049,-0.00632254,1
ENSG00000169598,0.036091082,1
ENSG00000162496,0.07961497,1
ENSG00000204624,-0.191420938,1
ENSG00000007923,0.129370015,1
ENSG00000116138,-0.045855026,1
ENSG00000162490,-0.123856555,1
ENSG00000107404,-0.024610769,1
ENSG00000117298,0.178281249,1
ENSG00000142634,0.180018232,1
ENSG00000075151,-0.021571042,1
ENSG00000127463,-0.043045505,1
ENSG00000074800,0.251564357,1
ENSG00000142627,0.463702831,1
ENSG00000070886,-0.496319003,1
ENSG00000133216,0.064402054,1
ENSG00000116285,-0.039112697,1
ENSG00000187017,0.053877579,1
ENSG00000171824,-0.061959611,1
ENSG00000162585,-0.013663505,1
ENSG00000185519,-0.114826518,1
ENSG00000157870,0.042640781,1
ENSG00000183114,0.143155028,1
ENSG00000162458,0.185772959,1
ENSG00000116661,0.21448338,1
ENSG00000037637,-0.022571246,1
ENSG00000132879,0.030073348,1
ENSG00000116663,0.056374934,1
ENSG00000142621,0.174318075,1
ENSG00000228594,-0.522876432,1
ENSG00000187730,-0.068200405,1
ENSG00000078369,0.131070607,1
ENSG00000158292,-0.057205155,1
ENSG00000180758,-0.022042549,1
ENSG00000049239,-0.301479528,0
ENSG00000188290,0.020354952,0
ENSG00000127483,-0.021505917,0
ENSG00000173641,-0.100684254,0
ENSG00000142798,0.408412902,0
ENSG00000179546,0.285900841,0
ENSG00000116237,-0.09352182,0
ENSG00000169991,0.058796163,0
ENSG00000117154,-0.081029564,0
ENSG00000127054,-0.035559615,0
ENSG00000187608,0.158463536,0
ENSG00000189337,0.106753465,0
ENSG00000069424,-0.117920031,0
ENSG00000004487,-0.03528373,0
ENSG00000116685,0.11672788,0
ENSG00000117245,-0.186463946,0
ENSG00000054523,0.120293616,0
ENSG00000187961,0.458917496,0
ENSG00000162413,0.197059169,0
ENSG00000225880,0.243753538,0
ENSG00000218510,-0.199827586,0
ENSG00000177133,0.017141603,0
ENSG00000228794,0.069667023,0
ENSG00000236963,-0.054600436,0
ENSG00000261326,-0.251360808,0
ENSG00000226029,-0.302877553,0
ENSG00000230415,-0.192379023,0
ENSG00000162494,-0.188054019,0
ENSG00000130764,0.05570021,0
ENSG00000169641,0.084461762,0
ENSG00000162441,0.309784316,0
ENSG00000116670,0.042369998,0
ENSG00000009724,0.24408837,0
ENSG00000162591,-0.035349762,0
ENSG00000116688,0.076097259,0
ENSG00000197530,-0.058689219,0
ENSG00000116691,0.038268545,0
ENSG00000173436,-0.169963858,0
ENSG00000228526,-0.262620932,0
ENSG00000116151,-0.171867408,0
ENSG00000242485,-0.125283157,0
ENSG00000053372,-0.252737811,0
ENSG00000186715,-0.21415182,0
ENSG00000186301,-0.037774218,0
ENSG00000248527,-0.036168551,0
ENSG00000237973,-0.572777274,0
ENSG00000229344,-0.704668429,0
ENSG00000198744,-0.776329962,0
ENSG00000177000,-0.244333823,0
ENSG00000225972,-0.659271526,0
ENSG00000225630,-0.877009101,0
ENSG00000198793,-0.013337838,0
ENSG00000090432,-0.013656057,0
ENSG00000162576,-0.134475802,0
ENSG00000008130,0.069083969,0
ENSG00000158747,-0.30693223,0
ENSG00000219481,0.176964417,0
ENSG00000142794,0.004495291,0
ENSG00000157191,-0.085143369,0
ENSG00000173614,-0.127252136,0
ENSG00000188976,0.092637103,0
ENSG00000162408,-0.07205493,0
ENSG00000131697,0.013530868,0
ENSG00000169914,-0.234853598,0
ENSG00000117115,-0.185233511,0
ENSG00000116288,0.01429949,0
ENSG00000009709,-0.232927976,0
ENSG00000162493,-0.00217698,0
ENSG00000049246,-0.173714543,0
ENSG00000157911,-0.019361288,0
ENSG00000142655,-0.194538962,0
ENSG00000142657,-0.051784456,0
ENSG00000116273,0.221566806,0
ENSG00000171608,0.284611201,0
ENSG00000158828,0.297778611,0
ENSG00000117242,-0.159238999,0
ENSG00000127472,-0.532442507,0
ENSG00000171680,0.077416045,0
ENSG00000116786,0.054982188,0
ENSG00000083444,0.241331315,0
ENSG00000040487,-0.325524625,0
ENSG00000142611,0.294982916,0
ENSG00000116731,0.04170353,0
ENSG00000067606,0.207584669,0
ENSG00000182873,0.202629586,0
ENSG00000169972,-0.01328128,0
ENSG00000076864,0.006391436,0
ENSG00000162444,0.123237849,0
ENSG00000179051,0.262238932,0
ENSG00000157916,0.154233791,0
ENSG00000142599,-0.069107143,0
ENSG00000158286,-0.052162926,0
ENSG00000116251,-0.013460951,0
ENSG00000187634,0.612685887,0
ENSG00000162572,-0.339931734,0
ENSG00000078808,-0.098685728,0
ENSG00000117118,0.059354541,0
ENSG00000189410,-0.417635851,0
ENSG00000157933,0.007499842,0
ENSG00000171612,0.032306037,0
ENSG00000162461,-0.177232864,0
ENSG00000142583,0.327505194,0
ENSG00000189339,0.209445264,0
ENSG00000162426,-0.14798523,0
ENSG00000187144,-0.201102803,0
ENSG00000065526,0.149377692,0
ENSG00000171621,-0.039778881,0
ENSG00000183888,0.463843192,0
ENSG00000116649,-0.211302805,0
ENSG00000160075,-0.033073769,0
ENSG00000055070,-0.133246217,0
ENSG00000120948,0.166886636,0
ENSG00000169962,0.273415367,0
ENSG00000041988,0.097614826,0
ENSG00000162542,0.217469777,0
ENSG00000188807,-0.134612253,0
ENSG00000205090,0.044497731,0
ENSG00000171729,0.368500232,0
ENSG00000175147,-0.008994827,0
ENSG00000178821,-0.200711059,0
ENSG00000205116,-0.177004087,0
ENSG00000028137,0.247076719,0
ENSG00000215788,0.083919992,0
ENSG00000078900,0.153715601,0
ENSG00000227372,0.056805573,0
ENSG00000158109,0.12779779,0
ENSG00000215912,-0.535906791,0
ENSG00000160087,0.005123201,0
ENSG00000130939,-0.154670778,0
ENSG00000120942,0.103789227,0
ENSG00000127481,0.128938331,0
ENSG00000162543,-0.023477016,0
ENSG00000233954,0.074678331,0
ENSG00000090686,-0.19831834,0
ENSG00000049245,0.044891165,0
ENSG00000048707,0.136142789,0
ENSG00000179403,-0.006532699,0
ENSG00000227232,0.100643958,0
ENSG00000162552,-0.004588056,0
ENSG00000116213,-0.034115794,0
ENSG00000116809,0.027824039,0
ENSG00000184677,0.273153839,0
ENSG00000204859,-0.059973618,0
ENSG00000121753,0.102663154,0
ENSG00000116863,0.028305628,0
ENSG00000092847,-0.052936464,0
ENSG00000126070,0.08049306,0
ENSG00000134698,-0.236628365,0
ENSG00000126705,0.072155427,0
ENSG00000004455,-0.202530207,0
ENSG00000174574,0.149330322,0
ENSG00000117448,-0.159747306,0
ENSG00000117713,0.054777283,0
ENSG00000117407,-0.352470936,0
ENSG00000088280,0.089518827,1
ENSG00000130770,-0.097422043,1
ENSG00000117410,-0.028089828,1
ENSG00000123472,-0.096708733,1
ENSG00000127423,-0.139770825,1
ENSG00000142920,-0.231553158,1
ENSG00000117411,-0.034526608,1
ENSG00000142959,-0.348036993,1
ENSG00000116985,-0.048592027,1
ENSG00000160058,-0.033999661,1
ENSG00000222009,-0.004071039,1
ENSG00000116922,0.126873596,1
ENSG00000197982,0.081612728,1
ENSG00000142686,0.423178066,1
ENSG00000164008,-0.138135169,1
ENSG00000131236,0.115768041,1
ENSG00000280670,-0.013196973,1
ENSG00000159588,0.003818397,1
ENSG00000159214,-0.240686559,1
ENSG00000160050,-0.082861497,1
ENSG00000186409,-0.19806594,1
ENSG00000130695,0.013371686,1
ENSG00000179862,-0.15881579,1
ENSG00000169504,0.39861548,1
ENSG00000142675,-0.223259456,1
ENSG00000084636,-0.258827298,1
ENSG00000171812,0.316064228,1
ENSG00000049089,-0.150391182,1
ENSG00000119535,0.405932799,1
ENSG00000121904,-0.018377729,1
ENSG00000171793,0.120747351,1
ENSG00000222046,-0.1857886,1
ENSG00000117682,-0.323478728,1
ENSG00000116544,0.050394833,1
ENSG00000178028,-0.019874488,1
ENSG00000126698,0.016570226,1
ENSG00000163879,-0.154770078,1
ENSG00000132768,-0.031238357,1
ENSG00000117395,0.084940539,1
ENSG00000159658,0.016956173,1
ENSG00000070785,-0.037342327,1
ENSG00000084623,0.001943557,1
ENSG00000011007,0.026804361,1
ENSG00000181773,-0.357906861,1
ENSG00000163873,-0.258293019,1
ENSG00000116478,0.073357018,1
ENSG00000126107,-0.03405604,1
ENSG00000163909,0.077545413,1
ENSG00000127124,-0.083326567,1
ENSG00000117305,-0.332833906,1
ENSG00000198830,-0.149825446,1
ENSG00000125944,0.155832377,1
ENSG00000121905,-0.045066933,1
ENSG00000116983,-0.089226149,1
ENSG00000186603,-0.124649981,1
ENSG00000178922,-0.010338697,1
ENSG00000117318,0.620199231,1
ENSG00000126709,-0.002331236,1
ENSG00000185436,0.002860339,1
ENSG00000204084,-0.048824838,1
ENSG00000117408,-0.071717105,1
ENSG00000197429,-0.135798539,1
ENSG00000160051,-0.058427041,1
ENSG00000117013,0.051000183,1
ENSG00000066135,0.178575624,1
ENSG00000121774,0.003642809,1
ENSG00000142687,-0.263524444,1
ENSG00000162522,-0.041695065,1
ENSG00000142945,-0.155718321,1
ENSG00000025800,0.342739154,1
ENSG00000162511,0.33673378,1
ENSG00000157978,-0.113360998,1
ENSG00000132128,-0.012892073,1
ENSG00000181817,0.006843986,1
ENSG00000171357,0.278968178,1
ENSG00000011009,-0.013319619,1