ID,trait_PathoAD,trait_ClinAD,trait_B.amyloid,trait_Tau.tangles,trait_Cognitive.decline,direction_CBE,direction_TCX
ENSG00000170759,2.26,7.13,4.6,1.86,10.26,NONE,UP
ENSG00000116661,3.56,5.59,2.65,2.55,9.01,NONE,UP
ENSG00000112851,1.87,4.78,6.42,1.79,7.96,NONE,UP
ENSG00000071054,2.09,6.22,6.41,1.04,7.51,NONE,NONE
ENSG00000140564,3,5.18,2.72,3.44,7.46,NONE,NONE
ENSG00000177807,2.63,3.25,4.31,0.93,7.32,UP,UP
ENSG00000170276,3.38,5.76,2.5,4.83,7.31,NA,NA
ENSG00000165458,2.14,3.43,4.04,1.24,7.26,NONE,UP
ENSG00000105655,3.22,5.82,3.3,3.91,7.13,NONE,UP
ENSG00000136848,3.1,4.2,4.4,4.31,7.04,NONE,NONE
ENSG00000155368,2,4,3.04,1.57,6.69,NONE,UP
ENSG00000116786,1,4.87,1.04,0.54,6.58,NONE,UP
ENSG00000140931,2.81,4.07,4.33,3.76,6.57,NONE,UP
ENSG00000171206,2.16,2.75,4.15,1.36,6.43,NONE,UP
ENSG00000079841,-1.48,-3.27,-3.24,-2.34,-6.41,NONE,DOWN
ENSG00000165092,-1.03,-5.29,-0.03,-2.45,-6.39,NONE,NONE
ENSG00000155980,0.93,6.37,1.91,0.3,6.35,NONE,UP
ENSG00000196154,3.42,7.2,3.31,2.89,6.34,UP,UP
ENSG00000141433,-1.68,-3.41,-2.45,-2.48,-6.31,NONE,DOWN
ENSG00000143321,1.88,2.58,6.23,2.48,6.11,NONE,NONE
ENSG00000181555,1.4,3.07,1.36,2.69,6.02,NONE,NONE
ENSG00000124785,-1.74,-3.09,-2.43,-1.85,-6.01,NONE,DOWN
ENSG00000110492,-3.53,-4.16,-3.85,-3.73,-5.79,DOWN,NONE
ENSG00000102547,1.89,4.39,3.04,2.01,5.73,NONE,UP
ENSG00000164949,0.97,3.31,2.62,0.5,5.66,UP,UP
ENSG00000108691,1.06,2.14,1.52,0.74,5.61,UP,UP
ENSG00000149269,-1.44,-2.8,-3.21,-1.38,-5.59,DOWN,DOWN
ENSG00000175390,-3.29,-2.01,-1.15,-2.2,-5.5,NONE,NONE
ENSG00000118515,3.86,2.72,7.12,2.1,5.44,NONE,UP
ENSG00000145907,1.34,4.05,2.98,0.64,5.41,NONE,UP
ENSG00000160097,-0.38,-3.19,-2.85,-0.75,-5.39,NONE,DOWN
ENSG00000121966,1.28,3.12,2.27,1.87,5.33,UP,UP
ENSG00000168209,1.87,1.84,3.99,2.08,5.33,UP,UP
ENSG00000142208,1.92,2.4,1.82,1.3,5.29,NONE,NONE
ENSG00000179094,1.13,2.4,2.37,0.89,5.27,NONE,NONE
ENSG00000128271,2.35,3.24,5.36,3.06,5.23,UP,UP
ENSG00000048052,-1.87,-2.01,-2.72,-1.37,-5.19,NONE,DOWN
ENSG00000166333,1.3,3.49,1.75,0.9,5.17,NA,NA
ENSG00000205726,1.49,2.41,1.81,1.56,5.12,NONE,NONE
ENSG00000005339,1.25,2.57,3.06,0.82,5.02,NONE,NONE
ENSG00000084676,1.41,3.95,3.07,2.58,4.97,NONE,NONE
ENSG00000097007,1.75,2.38,3.88,0.39,4.96,NONE,NONE
ENSG00000103319,1.01,2.31,1.54,1.28,4.94,NONE,NONE
ENSG00000115457,-0.68,-2.63,-1.68,-0.74,-4.93,NONE,NONE
ENSG00000081913,2.5,2.56,5.12,0.49,4.92,NONE,UP
ENSG00000157005,-3.07,-2.74,-4.26,-2.9,-4.85,NONE,DOWN
ENSG00000050426,-1.76,-2.57,-2.03,-0.85,-4.84,DOWN,DOWN
ENSG00000065882,1.35,3.67,0.73,1.49,4.78,NONE,UP
ENSG00000135144,3.44,2.27,3.98,2.62,4.76,NONE,NONE
ENSG00000184371,1.19,1.69,3.08,0.23,4.75,NONE,UP
ENSG00000157064,-1.74,-2.3,-3.56,-2.04,-4.73,NONE,DOWN
ENSG00000104687,-1.02,-2.05,-1.35,-1.1,-4.68,NONE,NONE
ENSG00000112561,2.83,1.28,4.35,2.16,4.66,NONE,NONE
ENSG00000096717,1.11,3.08,3.84,1.16,4.64,NONE,NONE
ENSG00000173039,1.35,3.12,3.15,0.3,4.59,UP,UP
ENSG00000117298,2.64,2.47,6.02,1.38,4.55,NONE,UP
ENSG00000089041,1.31,4.16,3.65,0.27,4.53,UP,UP
ENSG00000136205,2.26,2.17,3,0.97,4.46,NONE,UP
ENSG00000068903,2.18,2.65,5.44,0.34,4.4,NONE,NONE
ENSG00000198836,-1.71,-1.73,-4.6,-0.64,-4.35,NONE,NONE
ENSG00000100811,3.52,3.2,3.45,3.96,4.32,NONE,NONE
ENSG00000109436,-1.89,-1.33,-2.68,-1.4,-4.2,UP,DOWN
ENSG00000107643,-1.65,-1.1,-2.72,-1.43,-4.2,NONE,DOWN
ENSG00000072832,-1.14,-1.65,-2.2,-1.7,-4.18,NONE,NONE
ENSG00000089234,-1.85,-2.2,-2.16,-2.67,-4.17,NONE,NONE
ENSG00000133794,0.2,3.29,-0.08,0.58,4.16,NONE,NONE
ENSG00000065978,0.77,2.59,2.79,0.13,4.16,NONE,UP
ENSG00000164010,1.62,2.95,1.77,2.43,4.05,NONE,NONE
ENSG00000130703,1.81,1.77,2.39,2.82,4.04,NONE,NONE
ENSG00000111667,-0.21,-2.7,-1.16,-0.67,-3.95,NONE,NONE
ENSG00000109320,1.81,3.37,3.62,0.72,3.93,NONE,UP
ENSG00000171791,1.08,1.76,2.94,0.62,3.92,NONE,UP
ENSG00000130707,-1.28,-1.85,-3.29,-0.45,-3.92,NONE,NONE
ENSG00000101152,-0.43,-1.86,-1.28,-0.83,-3.91,NONE,NONE
ENSG00000171552,2.31,2.59,3.05,2.01,3.9,NONE,NONE
ENSG00000105376,-1.73,-3.5,-3.27,-2.33,-3.88,NONE,DOWN
ENSG00000100628,-0.68,-2.55,-2.17,-1.25,-3.84,NONE,DOWN
ENSG00000198719,0.69,1.03,2.44,0.14,3.82,NONE,UP
ENSG00000113645,0.94,1.82,1.23,0.86,3.78,NONE,UP
ENSG00000166224,2.02,2.28,3.8,1.37,3.78,NONE,NONE
ENSG00000103126,1.48,1.99,2.01,2.15,3.75,NONE,NONE
ENSG00000266524,-0.55,-3.02,-0.3,-1.84,-3.73,NONE,NONE
ENSG00000148660,2.2,2.1,2.21,4.19,3.69,NONE,NONE
ENSG00000120129,0.26,1.96,2.04,0.41,3.68,UP,UP
ENSG00000156345,-1.09,-2.11,-2.77,-1.57,-3.67,NONE,NONE
ENSG00000105329,1.33,1.51,3.3,0.33,3.67,UP,UP
ENSG00000170525,0.86,1.72,3.11,-0.07,3.6,NONE,UP
ENSG00000164062,-0.24,-1.71,-2.35,-0.99,-3.59,NONE,NONE
ENSG00000008294,1.21,2.46,3.78,0.36,3.57,NONE,NONE
ENSG00000115825,0.66,2.52,4.06,0.27,3.55,NONE,UP
ENSG00000157916,-0.91,-2.44,-0.08,-1.94,-3.54,NONE,NONE
ENSG00000134243,1.52,2.25,3.69,0.76,3.51,UP,UP
ENSG00000112079,0.3,1.97,0.34,0.43,3.51,NONE,UP
ENSG00000116478,1.06,1.44,3.18,0.56,3.5,NONE,UP
ENSG00000147571,-1.6,-1.92,-2.47,-1.21,-3.47,NONE,DOWN
ENSG00000148180,0.91,1.61,3.06,0.13,3.47,UP,UP
ENSG00000137573,-0.48,-2.19,-0.02,-0.62,-3.46,NONE,NONE
ENSG00000110786,-2.04,-1.55,-3.99,-1.74,-3.45,DOWN,DOWN
ENSG00000119922,1.7,3.19,2.34,1.19,3.44,UP,NONE
ENSG00000113721,1.22,2.21,2.85,0.53,3.43,NONE,UP
ENSG00000157933,2.15,1.84,2.98,0.81,3.42,NONE,NONE
ENSG00000005513,2.25,1.18,4.01,1.29,3.42,NONE,NONE
ENSG00000108883,-0.72,-0.76,-1.37,-0.55,-3.4,NONE,NONE
ENSG00000010810,1.09,1.67,3.43,0.81,3.39,NONE,UP
ENSG00000113384,1.35,3.5,3.01,0.89,3.39,NONE,NONE
ENSG00000132906,-0.89,-4.1,-1.23,-1.53,-3.37,NONE,NONE
ENSG00000149260,-0.45,-0.92,-2.05,-0.84,-3.37,NONE,NONE
ENSG00000138794,0.8,3.23,0.84,1.02,3.35,NONE,UP
ENSG00000103449,0.73,1.59,3.29,0.04,3.34,UP,UP
ENSG00000121671,-1.27,-1.9,-0.95,-3.62,-3.34,NONE,NONE
ENSG00000101460,-0.83,-1.24,-2.34,-1.04,-3.33,NONE,DOWN
ENSG00000100393,1.65,2.88,3.3,0.43,3.32,NONE,NONE
ENSG00000118785,2.53,1.86,5.66,0.86,3.32,UP,UP
ENSG00000101665,2.37,2.61,3.55,1.25,3.32,NONE,NONE
ENSG00000150907,0.5,0.39,2.89,0.49,3.31,UP,UP
ENSG00000109111,4.28,2.42,4.74,1.79,3.3,NONE,NONE
ENSG00000152952,1.12,1.36,3.3,0.62,3.28,UP,UP
ENSG00000135525,1.11,2.16,3.58,0.16,3.27,NONE,NONE
ENSG00000056736,0.2,1.3,1.01,0.25,3.27,UP,UP
ENSG00000213722,3.71,1.47,4.5,2.36,3.26,NONE,UP
ENSG00000131095,3.33,1.78,5.95,2.21,3.26,NONE,UP
ENSG00000108854,0.3,1.38,0.9,0.39,3.24,NONE,NONE
ENSG00000000003,0.03,2.3,0.79,0.25,3.24,UP,UP
ENSG00000184702,-0.75,-2.09,-1.02,-0.47,-3.2,NONE,NONE
ENSG00000144366,-1.82,-1.92,-2.38,-1.28,-3.2,NONE,NONE
ENSG00000184216,0.94,2.66,1.68,2.13,3.2,UP,UP
ENSG00000101474,-0.21,-1.63,-1.61,-0.81,-3.18,UP,NONE
ENSG00000145632,-1.01,-2.57,-1.95,-0.97,-3.15,NONE,DOWN
ENSG00000198417,2.16,2.25,2.76,3.35,3.15,NONE,UP
ENSG00000100300,1.18,1.74,1.96,1.04,3.15,UP,UP
ENSG00000065361,2.67,1.47,4.38,1.1,3.11,NONE,NONE
ENSG00000172216,0.48,0.7,0.89,-0.21,3.09,UP,UP
ENSG00000071564,0.74,1,1.21,0.85,3.06,NONE,UP
ENSG00000083799,1.31,1.96,1.87,2.39,3.05,NONE,NONE
ENSG00000129757,1.42,1.86,2.34,0.87,3.05,NONE,NONE
ENSG00000197959,-0.47,-0.77,-1.03,-0.95,-3.04,NONE,DOWN
ENSG00000004534,0.72,1.84,0.72,2.07,3.04,NONE,NONE
ENSG00000182220,-1.88,-0.8,-2.23,-2.92,-3.04,NONE,NONE
ENSG00000127445,-0.76,-1.29,-2.06,-0.79,-3.02,NONE,NONE
ENSG00000105397,1.01,1.6,0.69,2.01,3.01,NONE,NONE
ENSG00000076716,1.68,2.32,2.3,0.72,3,UP,UP
ENSG00000242252,-0.65,-2.82,-0.56,-1.54,-2.99,NA,NA
ENSG00000102119,-2.68,-2.55,-2.85,-2.71,-2.97,NONE,NONE
ENSG00000132510,1.26,0.97,1.67,0.63,2.97,NONE,NONE
ENSG00000120738,-1.33,-1.58,-2.18,-2.5,-2.96,NONE,DOWN
ENSG00000092969,1.5,1.42,2.93,1.04,2.94,UP,UP
ENSG00000173207,0.58,1.35,1.54,0.2,2.92,NONE,UP
ENSG00000117280,1.84,1.86,3.6,0.38,2.91,UP,UP
ENSG00000112139,3.47,1.38,2.96,2.03,2.9,NONE,UP
ENSG00000124523,-1.7,-1.46,-1.75,-1.87,-2.9,NONE,NONE
ENSG00000164733,-1.31,-2.29,-0.42,-1.58,-2.86,NONE,NONE
ENSG00000104067,1.1,1.82,4.03,0.32,2.84,NONE,UP
ENSG00000064687,1.03,1.93,0.43,2.32,2.83,NONE,NONE
ENSG00000148498,1.12,1.01,1.74,2.13,2.83,NONE,UP
ENSG00000088888,0.86,1.13,2.93,0.05,2.82,NONE,NONE
ENSG00000184486,2.2,1.12,3.21,1.34,2.8,NONE,UP
ENSG00000131899,1.98,1.65,4.3,0.16,2.79,NONE,NONE
ENSG00000005893,1.56,2.02,5.71,0.12,2.79,NONE,UP
ENSG00000169715,1.14,1.09,2.02,2.98,2.78,NONE,UP
ENSG00000060656,0.8,1.59,0.48,1.07,2.78,NONE,NONE
ENSG00000170579,-1.73,-1.11,-3.37,-0.92,-2.78,NONE,DOWN
ENSG00000100151,1.7,1.69,0.88,2.78,2.75,NONE,NONE
ENSG00000168610,0.44,1.06,2.73,0.04,2.74,NONE,UP
ENSG00000143258,1.49,2.81,1.64,1.4,2.73,NONE,NONE
ENSG00000137843,-1.48,-1.43,-3.05,-0.31,-2.71,NONE,DOWN
ENSG00000114166,1.74,1.99,4.39,0.2,2.71,NONE,UP
ENSG00000156650,1.41,1.86,1.1,1.46,2.7,NONE,NONE
ENSG00000166592,3.08,1.4,3.46,2.25,2.69,UP,UP
ENSG00000177374,1.17,1.47,2.64,1.13,2.65,NONE,UP
ENSG00000105229,1.62,1.14,1.29,1.07,2.64,NONE,NONE
ENSG00000075415,-1.84,-0.97,-2.02,-2.72,-2.64,NONE,NONE
ENSG00000167701,1.4,1.21,0.99,0.79,2.64,NONE,UP
ENSG00000141646,0.74,1.66,3.52,0.88,2.62,NONE,NONE
ENSG00000167461,1.15,1.63,0.73,0.29,2.61,NONE,NONE
ENSG00000101347,0.88,0.79,1.65,1.19,2.59,UP,UP
ENSG00000102125,0.62,1.81,1.22,1.03,2.59,NONE,NONE
ENSG00000070669,-1.64,-1.8,-2.76,-1.14,-2.58,DOWN,NONE
ENSG00000153944,0.6,1.11,2.13,0.08,2.56,NONE,UP
ENSG00000007372,0.84,0.95,0.92,0.16,2.56,NONE,UP
ENSG00000106211,0.93,0.78,1.17,0.67,2.56,NONE,UP
ENSG00000163069,0.53,1.66,2.93,1.4,2.55,NONE,NONE
ENSG00000107562,-0.09,-0.91,-0.32,-1.29,-2.55,NONE,NONE
ENSG00000162298,0.34,1.17,0.59,-0.17,2.53,NONE,NONE
ENSG00000124299,2.06,2.36,1.14,1.58,2.53,NONE,NONE
ENSG00000102003,-0.35,-1.54,-1.49,-1.44,-2.53,NONE,NONE
ENSG00000167755,2.19,1.55,2.81,0.68,2.52,NONE,NONE
ENSG00000067715,0.06,-0.66,-0.51,-0.13,-2.5,NONE,DOWN
ENSG00000186153,0.41,0.78,0.25,1.45,2.48,NONE,UP
ENSG00000069329,-1.09,-0.99,-1.79,-0.8,-2.47,NONE,NONE
ENSG00000136826,-0.29,1.23,0.68,-0.12,2.47,UP,UP
ENSG00000143507,1.51,2.53,3.89,2.38,2.46,NONE,NONE
ENSG00000135250,-0.19,-0.87,-0.63,-0.14,-2.44,NONE,NONE
ENSG00000128683,-1.44,-1.17,-2.08,-0.87,-2.43,NONE,DOWN
ENSG00000100678,-0.05,-1.01,-0.98,-0.2,-2.41,NONE,DOWN
ENSG00000122862,0.07,1.59,1.31,-0.05,2.41,UP,UP
ENSG00000120549,-2.27,-1.42,-2.97,-0.61,-2.41,NONE,NONE
ENSG00000266173,-0.54,-1.37,-1.48,-2.01,-2.41,NONE,NONE
ENSG00000163629,0.53,2.1,2.68,0.57,2.38,NONE,UP
ENSG00000137880,0.51,1.69,-0.05,0.94,2.37,NA,NA
ENSG00000106397,0.83,1.34,1.03,0.07,2.37,NONE,UP
ENSG00000196923,2.09,1.18,0.48,2.05,2.36,NONE,NONE
ENSG00000166484,1.81,1.55,2.77,0.07,2.36,NONE,NONE
ENSG00000148400,1.57,0.83,4.6,-0.06,2.33,NONE,UP
ENSG00000180921,0.32,-1.19,-0.42,-0.23,-2.32,DOWN,NONE
ENSG00000184144,2.24,1.44,4.21,-0.07,2.32,NONE,NONE
ENSG00000019991,0.23,1.32,0.65,0.03,2.31,UP,UP
ENSG00000141503,0.9,1.46,2.61,-0.15,2.31,NONE,NONE
ENSG00000197386,-0.87,-1.97,-1.45,0.05,-2.3,NONE,NONE
ENSG00000197111,0.71,2.69,2.79,0.25,2.3,NONE,NONE
ENSG00000137693,0.24,0.89,1.94,-0.09,2.29,UP,UP
ENSG00000126368,0.47,1.24,0.05,0.92,2.28,NONE,NONE
ENSG00000060982,-0.48,-0.92,-1.02,-0.56,-2.28,NONE,DOWN
ENSG00000178764,0.67,0.42,2.98,-0.4,2.27,NONE,UP
ENSG00000157036,-0.01,-4.23,-0.12,-0.83,-2.27,NONE,NONE
ENSG00000124795,1.53,1.83,2,3.68,2.27,UP,UP
ENSG00000132005,2.19,1.51,1.08,2.23,2.27,NONE,NONE
ENSG00000134121,-0.4,-0.94,-1.23,-1.1,-2.27,NONE,NONE
ENSG00000033327,1.13,3.19,2.2,0.13,2.26,NONE,NONE
ENSG00000198157,0.61,1.68,0.76,1.83,2.25,NONE,UP
ENSG00000165030,0.07,1.44,0.18,-0.18,2.25,UP,UP
ENSG00000104998,1.09,2.47,1.64,1.14,2.24,UP,NONE
ENSG00000170677,1.18,1.6,4.77,1.4,2.23,NONE,NONE
ENSG00000109787,0.91,2.2,4.72,0.17,2.21,NONE,UP
ENSG00000079332,-0.42,-0.13,0.34,-0.98,-2.19,NONE,NONE
ENSG00000067900,0.74,1.38,1.13,1.67,2.19,NONE,UP
ENSG00000146648,0.42,0.74,1.28,-0.11,2.19,UP,UP
ENSG00000169057,1.08,0.99,0.79,0.77,2.18,NONE,NONE
ENSG00000107874,-0.43,-1.24,-1.19,-1.2,-2.18,NONE,NONE
ENSG00000160075,2.09,2.18,0.5,3.2,2.17,NONE,NONE
ENSG00000213281,-0.25,-0.78,0.2,-0.42,-2.17,NONE,NONE
ENSG00000147601,-0.59,-2.3,-0.24,-0.2,-2.17,NONE,NONE
ENSG00000029993,-1.25,-1.8,-0.77,-0.38,-2.17,NONE,DOWN
ENSG00000137764,-0.23,-0.81,-0.85,-0.61,-2.16,NONE,NONE
ENSG00000131778,1.06,1.74,1.94,0.52,2.16,DOWN,NONE
ENSG00000175387,0.94,1.87,3.59,0.71,2.15,NONE,NONE
ENSG00000068024,1.3,1.76,1.48,0.83,2.13,NONE,NONE
ENSG00000214517,-0.94,-0.75,-3.71,-0.85,-2.13,DOWN,DOWN
ENSG00000026025,1.18,1.64,3.14,0.24,2.13,UP,UP
ENSG00000143384,0.24,0.64,1.52,-0.18,2.12,NONE,UP
ENSG00000221869,0.16,0.57,0.2,0.04,2.12,UP,UP
ENSG00000164985,-0.81,-0.58,-0.93,-0.62,-2.1,NONE,NONE
ENSG00000092445,1,1.16,0,1.21,2.1,NONE,NONE
ENSG00000089157,-1.34,-1.42,0.01,-0.37,-2.1,NONE,NONE
ENSG00000120833,0.51,2.05,0.67,0.52,2.09,NONE,NONE
ENSG00000205364,0.83,0.98,1.92,2.08,2.08,UP,UP
ENSG00000198959,0.03,0.58,1.03,0.11,2.07,UP,UP
ENSG00000141526,0.62,0.46,1.75,0.51,2.07,NONE,NONE
ENSG00000143799,1.16,1.15,3.04,0.15,2.05,UP,NONE
ENSG00000111674,-0.44,-0.82,-1.29,-0.32,-2.05,NONE,DOWN
ENSG00000077782,0.6,1.11,2.22,-0.4,2.04,NONE,UP
ENSG00000130204,-0.34,-2.24,-2.47,-0.41,-2.03,NONE,NONE
ENSG00000163932,-0.5,-1.88,-0.9,-0.48,-2.01,NONE,DOWN
ENSG00000187193,0.56,0.6,1.69,1.72,2.01,NONE,UP
ENSG00000152495,-0.25,-1.16,-1.21,-0.09,-2,NONE,DOWN
ENSG00000168918,0.8,1.76,2.15,0.51,1.99,NONE,UP
ENSG00000077150,0.17,0.61,0.72,-0.09,1.98,UP,UP
ENSG00000117632,-0.8,-1.28,-2.21,-1.83,-1.98,NONE,NONE
ENSG00000121653,2.22,2.09,1.36,1.41,1.98,NONE,NONE
ENSG00000104936,2.32,0.67,2.54,2.5,1.97,NONE,NONE
ENSG00000159200,0.76,1.31,0.79,0.39,1.95,NONE,NONE
ENSG00000185420,-1.36,-0.46,-4.15,0.34,-1.93,NONE,DOWN
ENSG00000204580,0.95,0.72,3.27,0.11,1.92,NONE,UP
ENSG00000170989,0.59,0.97,2.02,-0.12,1.92,NONE,UP
ENSG00000125966,-0.4,-0.95,-2.23,0.11,-1.92,NONE,NONE
ENSG00000071626,0.15,0.53,0.21,0.28,1.91,NONE,NONE
ENSG00000067225,0.03,-0.41,-0.48,-0.89,-1.9,NONE,NONE
ENSG00000111344,-0.13,-1.6,-0.4,-1.12,-1.9,DOWN,DOWN
ENSG00000205358,1.83,1.06,2.05,2.94,1.9,NONE,NONE
