ID,custom_color_macroautophagy
ENSG00000116586,Red
ENSG00000247077,Red
ENSG00000124208,Red
ENSG00000198793,Red
ENSG00000177889,Red
ENSG00000085978,Red
ENSG00000185122,Red
ENSG00000032742,Red
ENSG00000150991,Red
ENSG00000057663,Red
ENSG00000134248,Red
ENSG00000126581,Red
ENSG00000141564,Red
ENSG00000100330,Red
ENSG00000023287,Red
ENSG00000149357,Red
ENSG00000197548,Red
ENSG00000130204,Red
ENSG00000238244,Red
ENSG00000141580,Red
ENSG00000197769,Red
ENSG00000158560,Red
ENSG00000130734,Red
ENSG00000139197,Red
ENSG00000140941,Red
ENSG00000240849,Red
ENSG00000025039,Red
ENSG00000177169,Red
ENSG00000145782,Red
ENSG00000188186,Red
ENSG00000001626,Red
ENSG00000101844,Red
ENSG00000170315,Red
ENSG00000116688,Red
ENSG00000077380,Red
ENSG00000116288,Red
ENSG00000154174,Red
ENSG00000188554,Red
ENSG00000221983,Red
ENSG00000123395,Red
ENSG00000157954,Red
ENSG00000197102,Red
ENSG00000105355,Red
ENSG00000177143,Red
ENSG00000115592,Red
ENSG00000143947,Red
ENSG00000070540,Red
ENSG00000175768,Red
ENSG00000161011,Red
ENSG00000144848,Red
ENSG00000155876,Red
ENSG00000213585,Red
ENSG00000131791,Red
ENSG00000144635,Red
ENSG00000139112,Red
ENSG00000149311,Red
ENSG00000116954,Red
ENSG00000132356,Red
ENSG00000070770,Red
ENSG00000163719,Red
ENSG00000175224,Red
ENSG00000197122,Red
ENSG00000109971,Red
ENSG00000083750,Red
ENSG00000214736,Red
ENSG00000165280,Red
ENSG00000160299,Red
ENSG00000101266,Red
ENSG00000168397,Red
ENSG00000169379,Red
ENSG00000196998,Red
ENSG00000106617,Red
ENSG00000106615,Red
ENSG00000196455,Red
ENSG00000196683,Red
ENSG00000126775,Red
ENSG00000110497,Red
ENSG00000156469,Red
ENSG00000162409,Red
ENSG00000094631,Red
ENSG00000078142,Red
ENSG00000111725,Red
ENSG00000204435,Red
ENSG00000109270,Red
ENSG00000125703,Red
ENSG00000185345,Red
ENSG00000264364,Red
ENSG00000177058,Red
ENSG00000254598,Red
ENSG00000100216,Red
ENSG00000088986,Red
ENSG00000173726,Red
ENSG00000158828,Red
ENSG00000244687,Red
ENSG00000080824,Red
ENSG00000171109,Red
ENSG00000152348,Red
ENSG00000147872,Red
ENSG00000167965,Red
ENSG00000034713,Red
ENSG00000135720,Red
ENSG00000069509,Red
ENSG00000170296,Red
ENSG00000101460,Red
ENSG00000181929,Red
ENSG00000135093,Red