ID,logFC_CBE_Mayo,direction_CBE_Mayo,logFC_TCX_Mayo,direction_TCX_Mayo
ENSG00000175756,-0.03294007,NONE,0.053082438,NONE
ENSG00000244038,0.14982806,NONE,0.058633401,NONE
ENSG00000226029,-0.302877553,DOWN,-0.105750636,NONE
ENSG00000130764,0.05570021,NONE,-0.156593027,NONE
ENSG00000242485,-0.125283157,NONE,-0.108217558,NONE
ENSG00000188976,0.092637103,NONE,-0.225979762,NONE
ENSG00000157916,0.154233791,NONE,-0.034524526,NONE
ENSG00000116251,-0.013460951,NONE,-0.122192698,NONE
ENSG00000117118,0.059354541,NONE,-0.027829325,NONE
ENSG00000065526,0.149377692,NONE,0.075930711,NONE
ENSG00000041988,0.097614826,NONE,-0.142474714,NONE
ENSG00000233954,0.074678331,NONE,-0.301407695,DOWN
ENSG00000116213,-0.034115794,NONE,-0.053833814,NONE
ENSG00000117448,-0.159747306,NONE,-0.063140983,NONE
ENSG00000117410,-0.028089828,NONE,-0.143449681,NONE
ENSG00000116922,0.126873596,NONE,-0.092293693,NONE
ENSG00000197982,0.081612728,NONE,0.100742569,NONE
ENSG00000117395,0.084940539,NONE,-0.145620431,NONE
ENSG00000117308,-0.136431889,NONE,-0.16889451,NONE
ENSG00000134697,-0.115738248,NONE,-0.072405552,NONE
ENSG00000168653,-0.175621209,NONE,-0.00893276,NONE
ENSG00000175087,0.132022391,NONE,-0.123910456,NONE
ENSG00000084072,-0.136255539,NONE,-0.189730846,NONE
ENSG00000117748,-0.047190926,NONE,0.05980205,NONE
ENSG00000142937,-0.095648437,NONE,-0.03386327,NONE
ENSG00000010803,-0.355587992,DOWN,-0.007384202,NONE
ENSG00000183431,0.000913071,NONE,-0.006574665,NONE
ENSG00000163866,-0.00892119,NONE,-0.148764181,NONE
ENSG00000163877,0.00298261,NONE,-0.013315924,NONE
ENSG00000117614,0.004448555,NONE,0.065417985,NONE
ENSG00000054116,-0.077965446,NONE,-0.001467856,NONE
ENSG00000173660,-0.004743497,NONE,-0.122066935,NONE
ENSG00000126088,-0.145559906,NONE,-0.032092709,NONE
ENSG00000183520,-0.110792236,NONE,-0.090731211,NONE
ENSG00000065978,0.047230889,NONE,0.296224559,UP
ENSG00000162384,-0.35167165,DOWN,-0.132152868,NONE
ENSG00000162595,-0.6383649,DOWN,-0.056395884,NONE
ENSG00000137947,0.119509644,NONE,0.00083274,NONE
ENSG00000198841,0.088513546,NONE,-0.112337593,NONE
ENSG00000157193,0.123140753,NONE,0.032848873,NONE
ENSG00000058804,0.148346669,NONE,0.012124278,NONE
ENSG00000142892,0.031777739,NONE,0.085316121,NONE
ENSG00000116171,-0.10326665,NONE,0.096572676,NONE
ENSG00000198711,0.250990359,NONE,-0.045386833,NONE
ENSG00000123473,0.000687993,NONE,-0.037723507,NONE
ENSG00000162604,-0.12567251,NONE,-0.120250458,NONE
ENSG00000116209,-0.050575847,NONE,-0.011976494,NONE
ENSG00000116459,-0.01453924,NONE,-0.023776815,NONE
ENSG00000116752,0.028431013,NONE,-0.151029887,NONE
ENSG00000118292,-0.037052062,NONE,0.347334868,UP
ENSG00000117262,-0.306182412,DOWN,-0.189011727,NONE
ENSG00000188092,-0.369901989,DOWN,-0.214884383,NONE
ENSG00000163349,0.213970923,NONE,0.201148844,NONE
ENSG00000184270,NA,NA,NA,NA
ENSG00000224699,-0.192606087,NONE,-0.469074428,DOWN
ENSG00000266472,-0.143445433,NONE,-0.008379159,NONE
ENSG00000273136,-4.20E-05,NONE,0.160005828,NONE
ENSG00000198890,-0.133179068,NONE,-0.210094545,NONE
ENSG00000143106,-0.248275617,NONE,-0.247319035,NONE
ENSG00000117569,-0.13011579,NONE,-0.073103775,NONE
ENSG00000215717,0.012408302,NONE,0.019810429,NONE
ENSG00000065183,0.087481575,NONE,-0.00413652,NONE
ENSG00000143162,0.129444626,NONE,0.138492889,NONE
ENSG00000179085,-0.201794329,NONE,0.116103669,NONE
ENSG00000160752,0.19951002,NONE,0.063869837,NONE
ENSG00000143575,0.020902728,NONE,0.098846912,NONE
ENSG00000162755,-0.45823516,DOWN,-0.147232527,NONE
ENSG00000116586,-0.104760559,NONE,0.048291965,NONE
ENSG00000143198,-0.148891917,NONE,-0.140024905,NONE
ENSG00000143314,-0.259291029,NONE,-0.044794259,NONE
ENSG00000143436,-0.020630302,NONE,0.049861911,NONE
ENSG00000173171,-0.042588525,NONE,-0.048929499,NONE
ENSG00000162734,0.197338647,NONE,0.087336322,NONE
ENSG00000143224,-0.204780571,NONE,-0.231528383,NONE
ENSG00000159377,-0.12369435,NONE,-0.004052033,NONE
ENSG00000159352,-0.175606008,NONE,-0.048311416,NONE
ENSG00000163156,-0.161067396,NONE,-0.098314051,NONE
ENSG00000143252,-0.12815613,NONE,-0.192366786,NONE
ENSG00000198952,0.067968327,NONE,0.176487625,NONE
ENSG00000143553,0.010112418,NONE,0.258312946,NONE
ENSG00000163479,-0.121715512,NONE,-0.021774077,NONE
ENSG00000143183,0.160947751,NONE,0.101532975,NONE
ENSG00000143549,-0.029348993,NONE,-0.04424684,NONE
ENSG00000215845,0.034877076,NONE,-0.263934755,NONE
ENSG00000158773,-0.012855562,NONE,-0.03041549,NONE
ENSG00000163159,-0.001827705,NONE,0.04633747,NONE
ENSG00000162757,-0.001425802,NONE,-0.203797183,NONE
ENSG00000213047,0.065456579,NONE,-0.017792711,NONE
ENSG00000234741,-0.265689343,DOWN,-0.150326589,NONE
ENSG00000123684,-0.034456652,NONE,-0.230807944,NONE
ENSG00000077157,0.112954326,NONE,-0.164545243,NONE
ENSG00000117523,-0.138419452,NONE,-0.064680782,NONE
ENSG00000182004,-0.027723609,NONE,0.01992043,NONE
ENSG00000134375,0.055107446,NONE,-0.124433709,NONE
ENSG00000116857,-0.180310937,NONE,-0.057752552,NONE
ENSG00000186283,0.056224366,NONE,0.226580814,NONE
ENSG00000117533,-0.130132236,NONE,-0.084062076,NONE
ENSG00000143727,-0.110156361,NONE,-0.168086617,NONE
ENSG00000154309,-0.16163895,NONE,0.232010801,NONE
ENSG00000092978,-0.014357976,NONE,-0.094234993,NONE
ENSG00000143774,-0.029016533,NONE,-0.120988642,NONE
ENSG00000081692,-0.179260396,NONE,-0.243645327,NONE
ENSG00000162910,-0.262413445,NONE,-0.367374134,DOWN
ENSG00000135778,-0.085502724,NONE,-0.249712493,NONE
ENSG00000067533,-0.036524919,NONE,-0.151106819,NONE
ENSG00000151353,0.032037892,NONE,-0.211850516,NONE
ENSG00000221843,NA,NA,NA,NA
ENSG00000143933,-0.026047544,NONE,-0.075757653,NONE
ENSG00000115944,-0.216611731,NONE,-0.291348633,DOWN
ENSG00000119203,-0.218761631,NONE,-0.221897116,NONE
ENSG00000119878,0.215121997,NONE,0.167867512,NONE
ENSG00000115137,0.116698332,NONE,-0.137258157,NONE
ENSG00000032389,-0.165096899,NONE,-0.219061905,NONE
ENSG00000219626,0.068081256,NONE,-0.294916302,DOWN
ENSG00000171055,-0.113574422,NONE,-0.061681989,NONE
ENSG00000134330,-0.083596042,NONE,-0.197121867,NONE
ENSG00000138095,-0.009343856,NONE,-0.122312117,NONE
ENSG00000180398,0.139923565,NONE,0.082961888,NONE
ENSG00000084676,0.064068753,NONE,0.212249778,NONE
ENSG00000115216,0.048480439,NONE,0.004274731,NONE
ENSG00000228474,0.130315939,NONE,0.205067209,NONE
ENSG00000240857,0.195651169,NONE,0.110539855,NONE
ENSG00000171863,-0.144995381,NONE,-0.019394775,NONE
ENSG00000115128,0.024906004,NONE,0.201043367,NONE
ENSG00000115234,-0.118036132,NONE,0.025809419,NONE
ENSG00000176887,-0.077631954,NONE,-0.401361027,DOWN
ENSG00000115306,0.12203044,NONE,0.063081849,NONE
ENSG00000115750,0.170523363,NONE,0.06155721,NONE
ENSG00000163170,-0.175526578,NONE,-0.30858336,DOWN
ENSG00000135624,0.054501462,NONE,0.000225457,NONE
ENSG00000011523,0.06735059,NONE,-0.135145804,NONE
ENSG00000035141,-0.054063476,NONE,-0.04720625,NONE
ENSG00000059728,0.050805476,NONE,-0.083011352,NONE
ENSG00000169599,-0.280482806,DOWN,-0.19105168,NONE
ENSG00000135617,-0.14232258,NONE,0.103103056,NONE
ENSG00000200488,NA,NA,NA,NA
ENSG00000168894,-0.051696925,NONE,-0.072255843,NONE
ENSG00000208772,NA,NA,NA,NA
ENSG00000115525,-0.049740017,NONE,-0.091453504,NONE
ENSG00000163541,-0.167223271,NONE,-0.00624684,NONE
ENSG00000116001,-0.310237024,DOWN,-0.11387005,NONE
ENSG00000034510,0.12408362,NONE,0.26501836,NONE
ENSG00000136002,-0.072906773,NONE,0.059845454,NONE
ENSG00000136710,-0.209832278,NONE,-0.273340991,DOWN
ENSG00000135940,-0.131309903,NONE,0.010365162,NONE
ENSG00000136718,0.049297811,NONE,-0.122520353,NONE
ENSG00000173272,-0.184741311,NONE,-0.282653508,DOWN
ENSG00000152082,-0.14748077,NONE,-0.203777848,NONE
ENSG00000155438,-0.011334524,NONE,-0.002754064,NONE
ENSG00000115539,0.064043127,NONE,0.047284161,NONE
ENSG00000115762,0.11869224,NONE,-0.162121125,NONE
ENSG00000125630,-0.013174119,NONE,-0.012319987,NONE
ENSG00000115514,-0.001838927,NONE,-0.154843209,NONE
ENSG00000136709,-0.223304661,NONE,0.015957951,NONE
ENSG00000154518,-0.207491635,NONE,-0.212120068,NONE
ENSG00000082153,0.040729877,NONE,0.057393064,NONE
ENSG00000077232,-0.242556385,NONE,-0.019119621,NONE
ENSG00000119013,0.087614159,NONE,0.113416823,NONE
ENSG00000115233,-0.098189595,NONE,-0.058053761,NONE
ENSG00000127837,0.133938555,NONE,-0.010327081,NONE
ENSG00000123983,0.152367071,NONE,0.021687222,NONE
ENSG00000198612,0.020351869,NONE,-0.069201116,NONE
ENSG00000172428,0.05747323,NONE,0.065463854,NONE
ENSG00000135930,0.00331503,NONE,-0.135868049,NONE
ENSG00000144567,0.136765239,NONE,-0.069373404,NONE
ENSG00000163481,-0.097932893,NONE,-0.055812952,NONE
ENSG00000144451,-0.282326596,DOWN,-0.117934193,NONE
ENSG00000115661,0.036173393,NONE,0.025986016,NONE
ENSG00000158552,-0.116056651,NONE,-0.07111512,NONE
ENSG00000197548,0.125876181,NONE,0.00134212,NONE
ENSG00000134107,0.225346104,NONE,0.168439974,NONE
ENSG00000187118,-0.255253981,NONE,-0.077720045,NONE
ENSG00000113851,0.045280308,NONE,-0.003998231,NONE
ENSG00000125037,0.090798418,NONE,0.022350748,NONE
ENSG00000075914,-0.265051038,DOWN,-0.181522708,NONE
ENSG00000114745,0.006619325,NONE,0.232266093,NONE
ENSG00000181061,-0.089834063,NONE,0.02435922,NONE
ENSG00000170860,-0.021296031,NONE,-0.112028589,NONE
ENSG00000151093,-0.197034514,NONE,-0.046760344,NONE
ENSG00000070950,-0.140510389,NONE,-0.21257761,NONE
ENSG00000174748,-0.132596034,NONE,-0.139560798,NONE
ENSG00000168137,-0.202789355,NONE,-0.060984162,NONE
ENSG00000008324,-0.13186547,NONE,-0.007060644,NONE
ENSG00000170142,0.140669557,NONE,-0.043225541,NONE
ENSG00000164062,-0.111660178,NONE,-0.076982914,NONE
ENSG00000160799,-0.148776129,NONE,-0.171370661,NONE
ENSG00000164051,0.041889633,NONE,0.008732448,NONE
ENSG00000163832,-0.064819089,NONE,-0.117258789,NONE
ENSG00000016864,-0.162752206,NONE,-0.012536461,NONE
ENSG00000163938,0.100267571,NONE,-0.025655218,NONE
ENSG00000163376,0.02146323,NONE,-0.209371046,NONE
ENSG00000088727,-0.018132988,NONE,-0.263165966,DOWN
ENSG00000178057,-0.244785108,NONE,-0.130934643,NONE
ENSG00000114388,0.044428235,NONE,-0.09419234,NONE
ENSG00000168291,-0.151596859,NONE,-0.075677253,NONE
ENSG00000163636,-0.048479811,NONE,0.022153994,NONE
ENSG00000162244,-0.042860976,NONE,-0.018556682,NONE
ENSG00000114902,-0.349358537,DOWN,-0.229733892,NONE
ENSG00000164081,-0.083440632,NONE,-0.053699074,NONE
ENSG00000129055,-0.046642964,NONE,0.018177969,NONE
ENSG00000184220,-0.246049291,NONE,-0.365575698,DOWN
ENSG00000241278,NA,NA,NA,NA
ENSG00000073111,0.032788994,NONE,-0.234094591,NONE
ENSG00000114686,0.040258519,NONE,0.038451733,NONE
ENSG00000114021,-0.030955215,NONE,-0.227081549,NONE
ENSG00000170854,0.136742148,NONE,0.15135144,NONE
ENSG00000251474,0.08976676,NONE,-0.164335992,NONE
ENSG00000121542,-0.213463763,NONE,-0.175383344,NONE
ENSG00000154174,0.025895219,NONE,-0.216194032,NONE
ENSG00000174173,0.08132692,NONE,0.078197798,NONE
ENSG00000081307,0.063289187,NONE,-0.131914279,NONE
ENSG00000175054,-0.261997215,NONE,-0.176376848,NONE
ENSG00000205981,-0.18826689,NONE,-0.201887608,NONE
ENSG00000068885,-0.262613712,NONE,-0.208224848,NONE
ENSG00000175110,0.234667524,NONE,0.013729327,NONE
ENSG00000136521,-0.322048382,DOWN,-0.238424082,NONE
ENSG00000155893,0.135970489,NONE,0.110918186,NONE
ENSG00000177565,-0.139447917,NONE,-0.124480508,NONE
ENSG00000058056,-0.104857165,NONE,-0.300965404,DOWN
ENSG00000156931,-0.127210049,NONE,-0.057295498,NONE
ENSG00000169020,-0.054075755,NONE,-0.090054301,NONE
ENSG00000156976,0.001202352,NONE,-0.131388089,NONE
ENSG00000125386,-0.055769314,NONE,-0.050544562,NONE
ENSG00000109519,0.101149033,NONE,-0.106071509,NONE
ENSG00000214367,0.042526616,NONE,-0.060099453,NONE
ENSG00000114473,-0.000239741,NONE,0.022704732,NONE
ENSG00000179010,0.18146712,NONE,0.020656129,NONE
ENSG00000270170,0.190246695,NONE,-0.058998385,NONE
ENSG00000198836,-0.084830534,NONE,-0.216251945,NONE
ENSG00000163923,0.037246883,NONE,0.180355536,NONE
ENSG00000119231,0.024475797,NONE,-0.12718634,NONE
ENSG00000065882,-0.044901954,NONE,0.309227125,UP
ENSG00000132466,0.034326362,NONE,0.0554615,NONE
ENSG00000138663,0.186043921,NONE,-0.012119515,NONE
ENSG00000109184,-0.054785519,NONE,-0.08961557,NONE
ENSG00000145293,-0.038406271,NONE,-0.111765182,NONE
ENSG00000189157,-0.547138591,DOWN,-0.51883905,DOWN
ENSG00000163288,0.524877689,UP,0.477413847,UP
ENSG00000132463,0.041322762,NONE,-0.040363381,NONE
ENSG00000151806,-0.015101865,NONE,-0.074042046,NONE
ENSG00000145332,0.215799257,NONE,0.02178928,NONE
ENSG00000169288,-0.113694129,NONE,-0.117451328,NONE
ENSG00000170448,0.137003804,NONE,-0.002166539,NONE
ENSG00000047315,0.411213604,UP,0.108912236,NONE
ENSG00000163743,0.089282438,NONE,-0.075843704,NONE
ENSG00000163682,-0.145331453,NONE,-0.1218482,NONE
ENSG00000014824,-0.102744866,NONE,-0.204865507,NONE
ENSG00000163625,0.060695756,NONE,0.113584816,NONE
ENSG00000164163,-0.136574252,NONE,-0.033280621,NONE
ENSG00000151458,0.16510506,NONE,-0.058972507,NONE
ENSG00000188517,0.231357812,NONE,-1.01826558,DOWN
ENSG00000170390,-0.074464202,NONE,0.339385612,UP
ENSG00000077684,0.000577717,NONE,-0.082642617,NONE
ENSG00000138688,0.360481618,UP,0.214092091,NONE
ENSG00000138709,-0.162256049,NONE,-0.187146798,NONE
ENSG00000109390,-0.18398947,NONE,-0.078324585,NONE
ENSG00000138698,0.046345926,NONE,-0.247347089,NONE
ENSG00000153130,0.024783831,NONE,-0.227056309,NONE
ENSG00000138802,0.184469233,NONE,0.183737414,NONE
ENSG00000269893,-0.128970225,NONE,-0.145153312,NONE
ENSG00000028310,-0.27171483,DOWN,-0.384361737,DOWN
ENSG00000169862,0.018278739,NONE,0.108535464,NONE
ENSG00000180104,-0.11822639,NONE,-0.238455778,NONE
ENSG00000171421,0.180292526,NONE,0.08960068,NONE
ENSG00000145494,-0.07693563,NONE,-0.02368673,NONE
ENSG00000113569,-0.035793281,NONE,-0.125567583,NONE
ENSG00000249915,-0.108171635,NONE,-0.221772496,NONE
ENSG00000154153,0.152792664,NONE,-0.126669733,NONE
ENSG00000129128,-0.080323526,NONE,-0.143929706,NONE
ENSG00000113387,0.091555765,NONE,-0.289914224,DOWN
ENSG00000164252,0.049922437,NONE,0.05769572,NONE
ENSG00000049167,-0.145542028,NONE,-0.11537833,NONE
ENSG00000112972,0.095635101,NONE,-0.063554783,NONE
ENSG00000086200,0.176991498,NONE,0.168130568,NONE
ENSG00000164258,0.003238723,NONE,0.057513476,NONE
ENSG00000067113,0.318233332,UP,0.487137931,UP
ENSG00000049883,-0.051105217,NONE,-0.126731313,NONE
ENSG00000058729,-0.04954328,NONE,-0.007436033,NONE
ENSG00000145740,-0.086528753,NONE,0.021143466,NONE
ENSG00000177058,-0.189113502,NONE,-0.156743675,NONE
ENSG00000171530,-0.196596716,NONE,-0.105399232,NONE
ENSG00000164180,0.073005131,NONE,-0.06973804,NONE
ENSG00000131732,-0.236438749,NONE,-0.016097555,NONE
ENSG00000172262,0.115212822,NONE,-0.084485514,NONE
ENSG00000164398,-0.095255881,NONE,-0.115547528,NONE
ENSG00000094880,-0.056691838,NONE,0.052796169,NONE
ENSG00000113552,-0.038355898,NONE,0.011442306,NONE
ENSG00000113648,-0.105829777,NONE,-0.11722529,NONE
ENSG00000112855,-0.243302717,NONE,-0.073401156,NONE
ENSG00000169567,0.049726764,NONE,-0.046195311,NONE
ENSG00000120733,-0.003414177,NONE,0.08277693,NONE
ENSG00000131495,-0.071931373,NONE,-0.156710469,NONE
ENSG00000145725,-0.14590758,NONE,-0.141664542,NONE
ENSG00000158987,-0.43199723,DOWN,-0.210409728,NONE
ENSG00000013561,-0.005140313,NONE,-0.220036212,NONE
ENSG00000113615,0.062977444,NONE,0.133539173,NONE
ENSG00000113558,-0.162071052,NONE,-0.211799796,NONE
ENSG00000205302,0.453451195,UP,0.246096662,NONE
ENSG00000151304,0.184925613,NONE,0.056618875,NONE
ENSG00000113621,-0.048937792,NONE,-0.056924445,NONE
ENSG00000164405,-0.07120004,NONE,-0.037598625,NONE
ENSG00000134987,0.01853358,NONE,-0.006491845,NONE
ENSG00000120314,0.061770309,NONE,-0.034578616,NONE
ENSG00000155329,0.050055768,NONE,0.012896931,NONE
ENSG00000146007,0.13044245,NONE,0.012961232,NONE
ENSG00000137274,-0.17605969,NONE,-0.185279545,NONE
ENSG00000124802,-0.131540802,NONE,-0.185960949,NONE
ENSG00000146067,-0.052862879,NONE,-0.120127244,NONE
ENSG00000145912,0.074418274,NONE,-0.027389331,NONE
ENSG00000181163,-0.009985656,NONE,-0.069489719,NONE
ENSG00000204628,-0.127825873,NONE,0.004043169,NONE
ENSG00000037241,0.116526307,NONE,0.091194963,NONE
ENSG00000164587,-0.168031487,NONE,-0.077807359,NONE
ENSG00000137266,0.17602086,NONE,0.187229501,NONE
ENSG00000164296,-0.121889238,NONE,0.071695074,NONE
ENSG00000146109,-0.181866012,NONE,0.000784938,NONE
ENSG00000112149,0.128573907,NONE,-0.224858525,NONE
ENSG00000124610,NA,NA,NA,NA
ENSG00000277075,NA,NA,NA,NA
ENSG00000273802,0.998440458,UP,-0.130563027,NONE
ENSG00000197903,0.761087263,UP,0.71310366,UP
ENSG00000185130,NA,NA,NA,NA
ENSG00000275714,NA,NA,NA,NA
ENSG00000278828,NA,NA,NA,NA
ENSG00000197061,NA,NA,NA,NA
ENSG00000277157,NA,NA,NA,NA
ENSG00000274618,NA,NA,NA,NA
ENSG00000276180,NA,NA,NA,NA
ENSG00000225921,0.068403266,NONE,0.127577042,NONE
ENSG00000124789,0.157419432,NONE,0.06026563,NONE
ENSG00000197062,-0.226430992,NONE,-0.036151271,NONE
ENSG00000064999,-0.019916289,NONE,0.21318322,NONE
ENSG00000112578,0.116228773,NONE,0.053434443,NONE
ENSG00000198937,-0.077763469,NONE,0.256011391,NONE
ENSG00000096401,0.191194798,NONE,0.00758347,NONE
ENSG00000112667,-0.404179165,DOWN,0.009120592,NONE
ENSG00000124767,0.033208679,NONE,0.074998928,NONE
ENSG00000146151,-0.077745942,NONE,-0.173617675,NONE
ENSG00000137171,0.086478115,NONE,-0.11195692,NONE
ENSG00000124688,0.149572205,NONE,-0.046894545,NONE
ENSG00000124733,0.167430194,NONE,0.059146956,NONE
ENSG00000112651,-0.249330666,NONE,-0.181786839,NONE
ENSG00000096080,-0.087071324,NONE,0.039130729,NONE
ENSG00000171453,0.02912557,NONE,0.052885957,NONE
ENSG00000112130,0.155340728,NONE,-0.098100221,NONE
ENSG00000198755,-0.070219436,NONE,-0.008962313,NONE
ENSG00000124541,-0.014633117,NONE,0.029119677,NONE
ENSG00000124562,-0.046942733,NONE,0.057589232,NONE
ENSG00000124659,-0.013159011,NONE,-0.179191735,NONE
ENSG00000096092,0.106395052,NONE,0.039246076,NONE
ENSG00000137207,0.033059455,NONE,0.066395408,NONE
ENSG00000057663,0.156405107,NONE,-0.002752811,NONE
ENSG00000112695,-0.099603874,NONE,-0.070204288,NONE
ENSG00000083099,0.028617217,NONE,-0.023288912,NONE
ENSG00000135549,0.0456566,NONE,-0.413714059,DOWN
ENSG00000132424,0.088883349,NONE,0.163069101,NONE
ENSG00000111850,-0.146409833,NONE,-0.16738004,NONE
ENSG00000203875,-0.002637765,NONE,-0.111832806,NONE
ENSG00000135317,-0.166123444,NONE,-0.060366048,NONE
ENSG00000079950,0.001455448,NONE,-0.082495412,NONE
ENSG00000146386,0.114828131,NONE,-0.098172484,NONE
ENSG00000120437,-0.017321488,NONE,-0.013265742,NONE
ENSG00000106263,-0.001704267,NONE,0.029222053,NONE
ENSG00000272047,-0.270950482,DOWN,-0.362608983,DOWN
ENSG00000214960,-0.393221745,DOWN,-0.291140658,DOWN
ENSG00000002822,-0.145894841,NONE,-0.247298721,NONE
ENSG00000189043,-0.176972937,NONE,-0.105781419,NONE
ENSG00000106268,0.031944464,NONE,0.010640155,NONE
ENSG00000106443,0.128193551,NONE,-0.126884613,NONE
ENSG00000131013,0.177616102,NONE,0.094968537,NONE
ENSG00000157778,-0.034405305,NONE,-0.221889457,NONE
ENSG00000106399,-0.059021674,NONE,-0.230880615,NONE
ENSG00000169976,0.11719853,NONE,0.15904338,NONE
ENSG00000164828,0.073373346,NONE,-0.011054484,NONE
ENSG00000131018,0.357543417,UP,0.063548815,NONE
ENSG00000105849,-0.018452071,NONE,0.018463621,NONE
ENSG00000009844,0.135685392,NONE,-0.096826937,NONE
ENSG00000136247,0.086990602,NONE,0.085104617,NONE
ENSG00000178381,0.059207885,NONE,-0.124620266,NONE
ENSG00000164631,0.319835241,UP,0.038692362,NONE
ENSG00000105778,-0.118785575,NONE,-0.157772922,NONE
ENSG00000169193,0.344854337,UP,0.17993223,NONE
ENSG00000146731,0.094628624,NONE,-0.061465433,NONE
ENSG00000065883,-0.201608709,NONE,-0.035966277,NONE
ENSG00000106153,-0.007925291,NONE,0.011668645,NONE
ENSG00000106603,-0.164481048,NONE,-0.223619058,NONE
ENSG00000227855,-0.020401592,NONE,-0.187627102,NONE
ENSG00000122557,-0.075503644,NONE,0.113659047,NONE
