ID,custom_color,
ENSG00000174243,red,splicing
ENSG00000106245,red,
ENSG00000137168,red,
ENSG00000163714,red,
ENSG00000163882,red,
ENSG00000167978,red,
ENSG00000100836,red,
ENSG00000111196,red,
ENSG00000181222,red,
ENSG00000110107,red,
ENSG00000139343,red,
ENSG00000107105,red,
ENSG00000101138,red,
ENSG00000185250,red,
ENSG00000168566,red,
ENSG00000169249,red,
ENSG00000183431,red,
ENSG00000183684,red,
ENSG00000150316,red,
ENSG00000060339,red,
ENSG00000105258,red,
ENSG00000099817,red,
ENSG00000104897,red,
ENSG00000133226,red,
ENSG00000198231,red,
ENSG00000165494,red,
ENSG00000003756,red,
ENSG00000047315,red,
ENSG00000168883,red,
ENSG00000161265,red,
ENSG00000169976,red,
ENSG00000116754,red,
ENSG00000116752,red,
ENSG00000136709,red,
ENSG00000100410,red,
ENSG00000108654,red,
ENSG00000204560,red,
ENSG00000273559,red,
ENSG00000145833,red,
ENSG00000143368,red,
ENSG00000175467,red,
ENSG00000102978,red,
ENSG00000149532,red,
ENSG00000116350,red,
ENSG00000162385,red,
ENSG00000117614,red,
ENSG00000102103,red,
ENSG00000115524,red,
ENSG00000170144,red,
ENSG00000096401,red,
ENSG00000185946,red,
ENSG00000161547,red,
ENSG00000011304,red,
ENSG00000105618,red,
ENSG00000119953,red,
ENSG00000177700,red,
ENSG00000130332,red,
ENSG00000063244,red,
ENSG00000005075,red,
ENSG00000143977,red,
ENSG00000068394,red,
ENSG00000135829,red,
ENSG00000104824,red,
ENSG00000188342,red,
ENSG00000169813,red,
ENSG00000100142,red,
ENSG00000130520,red,
ENSG00000100319,red,
ENSG00000165934,red,
ENSG00000196504,red,
ENSG00000125351,red,
ENSG00000077312,red,
ENSG00000104852,red,
ENSG00000147669,red,
ENSG00000169564,red,
ENSG00000085872,red,
ENSG00000177733,red,
ENSG00000145216,red,
ENSG00000086589,red,
ENSG00000090060,red,
ENSG00000060688,red,
ENSG00000136527,red,
ENSG00000125755,red,
ENSG00000112081,red,
ENSG00000169045,red,
ENSG00000126698,red,
ENSG00000169217,red,
ENSG00000136937,red,
ENSG00000050767,red,
ENSG00000089280,red,
ENSG00000139168,red,
ENSG00000147274,red,
ENSG00000168066,red,
ENSG00000101161,red,
ENSG00000134748,red,
ENSG00000171566,red,
ENSG00000106355,red,
ENSG00000071894,red,
ENSG00000240344,red,
ENSG00000105323,red,
ENSG00000165119,red,
ENSG00000153015,red,
ENSG00000090470,red,
ENSG00000099995,red,
ENSG00000163510,red,
ENSG00000128534,red,
ENSG00000125870,red,
ENSG00000134453,red,
ENSG00000182004,red,
ENSG00000171960,red,
ENSG00000131013,red,
ENSG00000100603,red,
ENSG00000101811,red,
ENSG00000138668,red,
ENSG00000066044,red,
ENSG00000144231,red,
ENSG00000122566,red,
ENSG00000120688,red,
ENSG00000114503,red,
ENSG00000140829,red,
ENSG00000109971,red,
ENSG00000174231,red,
ENSG00000105705,red,
ENSG00000205937,red,
ENSG00000125944,red,
ENSG00000124562,red,
ENSG00000100028,red,
ENSG00000197111,red,
ENSG00000101343,red,
ENSG00000124193,red,
ENSG00000125743,red,
ENSG00000189091,red,
ENSG00000119203,red,
ENSG00000168002,red,
ENSG00000109606,red,
ENSG00000160201,red,
ENSG00000124380,red,
ENSG00000144028,red,
ENSG00000170860,red,
ENSG00000111786,red,
ENSG00000135486,red,
ENSG00000161981,red,
ENSG00000172409,red,
ENSG00000115875,red,
ENSG00000087365,red,
ENSG00000273173,red,
ENSG00000153187,red,
ENSG00000131876,red,
ENSG00000167088,red,
ENSG00000176102,red,
ENSG00000084072,red,
ENSG00000184209,red,
ENSG00000021776,red,
ENSG00000125835,red,
ENSG00000164167,red,
ENSG00000076924,red,
ENSG00000113593,red,
ENSG00000108883,red,
ENSG00000240682,red,
ENSG00000115128,red,
ENSG00000265241,red,
ENSG00000141543,red,
ENSG00000126945,red,
ENSG00000100650,red,
ENSG00000160917,red,
ENSG00000125651,red,
ENSG00000143294,red,
ENSG00000168438,red,
ENSG00000117360,red,
ENSG00000141759,red,
ENSG00000084463,red,
ENSG00000065978,red,
ENSG00000167005,red,
ENSG00000136875,red,
ENSG00000204392,red,
ENSG00000087087,red,
ENSG00000132792,red,
ENSG00000179950,red,
ENSG00000100138,red,
ENSG00000261796,red,
ENSG00000128739,red,
ENSG00000136450,red,
ENSG00000099783,red,
ENSG00000092199,red,
ENSG00000177613,red,